Filename,Result,Last Time Value
금0900.csv,36.33463035019455,97.53
금0930.csv,38.123364485981305,97.53
금1000.csv,41.25892857142857,128.53
금1030.csv,42.79261862917399,139.03
금1100.csv,43.756013745704465,138.53
금1130.csv,44.13210702341137,140.03
금1200.csv,49.10339734121123,188.03
금1230.csv,48.51197604790419,190.53
금1300.csv,49.13480055020633,172.53
금1330.csv,52.74674384949349,203.53
금1400.csv,53.28708791208791,204.03
금1430.csv,55.96757457846952,201.03
금1500.csv,46.44900849858357,111.03
금1530.csv,46.02567760342368,104.03
금1600.csv,37.876689189189186,99.53
금1630.csv,37.965156794425084,96.53
금1700.csv,36.350187265917604,99.53
금1730.csv,36.350187265917604,99.53
목0900.csv,35.63908045977011,107.53
목0930.csv,38.0,114.53
목1000.csv,40.28740157480315,121.03
목1030.csv,44.70623145400594,141.03
목1100.csv,42.87365177195686,142.53
목1130.csv,43.587878787878786,140.53
목1200.csv,49.72390572390572,187.53
목1230.csv,51.27126805778491,184.03
목1300.csv,52.588579795021964,173.53
목1330.csv,51.65757162346521,179.03
목1400.csv,54.60462130937099,185.53
목1430.csv,51.95567867036011,187.03
목1500.csv,48.88662790697674,111.03
목1530.csv,45.983257229832574,111.03
목1600.csv,45.873065015479874,111.03
목1630.csv,43.08661417322835,111.03
목1700.csv,39.436619718309856,111.03
목1730.csv,37.319688109161795,111.03
수0900.csv,44.467811158798284,161.53
수0930.csv,44.00603621730382,162.03
수1000.csv,44.74528301886792,163.53
수1030.csv,54.668373879641486,197.03
수1100.csv,54.668373879641486,197.03
수1130.csv,55.202007528230865,198.03
수1200.csv,41.696363636363635,122.03
수1230.csv,40.45142857142857,121.03
수1300.csv,43.665625,118.03
수1330.csv,52.854878048780485,166.03
수1400.csv,52.17826617826618,166.53
수1430.csv,54.92727272727273,187.03
수1500.csv,59.59103641456583,212.03
수1530.csv,59.04625850340136,212.53
수1600.csv,59.79974811083123,212.53
수1630.csv,50.22432432432432,117.03
수1700.csv,50.280945757997216,117.03
수1730.csv,43.46875,117.03
월0900.csv,40.75836431226766,97.53
월0930.csv,43.928333333333335,98.53
월1000.csv,45.01748807631161,106.53
월1030.csv,57.13526011560694,188.53
월1100.csv,54.335757575757576,189.53
월1130.csv,52.688442211055275,178.53
월1200.csv,47.258232235701904,158.53
월1230.csv,45.848314606741575,159.03
월1300.csv,46.24143835616438,162.03
월1330.csv,47.89393939393939,190.53
월1400.csv,48.553323029366304,192.03
월1430.csv,54.33380884450784,212.53
월1500.csv,55.931750741839764,196.03
월1530.csv,54.537519142419605,199.03
월1600.csv,53.308479532163744,184.03
월1630.csv,42.692182410423456,126.03
월1700.csv,42.192242833052276,126.53
월1730.csv,37.86051080550098,126.53
화0900.csv,49.86973180076628,178.53
화0930.csv,50.073170731707314,178.53
화1000.csv,52.16270566727605,192.03
화1030.csv,61.815035799522676,227.53
화1100.csv,61.972813238770684,227.53
화1130.csv,62.00233372228705,216.03
화1200.csv,52.80819912152269,175.03
화1230.csv,52.80819912152269,175.03
화1300.csv,56.45895020188425,174.03
화1330.csv,44.427566807313646,108.53
화1400.csv,47.029139072847684,118.03
화1430.csv,47.58085381630013,114.53
화1500.csv,62.83419689119171,205.03
화1530.csv,60.871391076115486,204.53
화1600.csv,58.015366430260045,204.53
화1630.csv,55.30263157894737,144.53
화1700.csv,48.371202113606344,119.03
화1730.csv,43.73721590909091,97.53
